ID,Section,Element / Selector,Field Type,Current Content (abbreviated),Content Source,Notes
,═══ FINAL CTA SECTION ═══,,,,,
221,CTA,h2,Section Title,Find Your Perfect Resume Template Today,AI,"Closing CTA heading. AI drafts."
222,CTA,.cta-subtitle,Subtitle,"Browse 100+ professional templates, download for free, and customize in minutes. Your next interview starts here.",AI,AI-generated CTA copy.
223,CTA,Primary CTA,CTA Label,Build My Resume,H,"Must match hero CTA — product decision."
224,CTA,Secondary CTA,CTA Label,Import Existing Resume,H,Same.
225,CTA,.cta-features × 4,Feature Bullets,"100+ Professional Templates, Free PDF & Word Download, 98% ATS Pass Rate, No Credit Card Required",AI,"Trust bullets. AI drafts. Data claims must be verified."
,,,,,,
,═══ FOOTER ═══,,,,,
226,Footer,.footer-tagline,Tagline,"Professional resume templates built with real hiring data from Toptal's network of recruiters and hiring managers.",AI,"Brand tagline. AI drafts, brand team approves."
227,Footer,.footer-column × 4,Column Headings,"Resume Templates, Resources, Company, Legal",H,"IA structure — UX/product decision."
228,Footer,Resume Templates links × 7,Footer Links,"All Templates, ATS-Friendly, Simple, Modern, Creative, Google Docs, Word",P,"Auto-generated from template category taxonomy."
229,Footer,Resources links × 5,Footer Links,"Resume Builder, Resume Examples, Cover Letters, Career Blog, ATS Score Checker",H,"Product pages — set by product team."
230,Footer,Company links × 4,Footer Links,"About Toptal, Hiring Network, Careers, Contact",H,"Corporate links — set by company."
231,Footer,Legal links × 3,Footer Links,"Privacy Policy, Terms of Service, Cookie Settings",H,"Legal links — set by legal team."
232,Footer,.footer-bottom,Copyright,© 2026 Toptal Resume. All rights reserved.,P,"Year auto-updated. Company name fixed."
,,,,,,
,═══ SUMMARY COUNTS ═══,,,,,
,,,,,TOTAL FIELDS: ~232,
,,,,,Programmatic (P): ~62 fields,"Template tags, counts, filter options, taxonomy labels, schema, breadcrumbs, year"
,,,,,AI-Generated (AI): ~128 fields,"Descriptions, SEO headings, guide chapters, FAQ, meta tags, feature copy"
,,,,,Human-Written (H): ~42 fields,"Template names, brand copy, CTAs, team bios, testimonials, nav structure, real metrics"
